meet_id,meet_name,start_date,end_date,use_era5_land,lat,lon,elevation,timezone,temperature,dewpoint,wind_speed,pressure,relative_humidity,wbgt,city,country
oly_1992,Olympics 1992,1992-07-26,1992-08-09,True,41.3851,2.1734,12,Europe/Madrid,21.89965926276318,17.205696487426792,1.8360986274596427,974.5432144097223,74.73731398701459,22.859918898780904,Barcelona,Spain
oly_1996,Olympics 1996,1996-07-20,1996-08-04,False,33.749,-84.388,320,America/New_York,25.426100309689843,19.660589194297813,2.239421629568215,983.519273071289,70.50370145374417,25.83347219439434,Atlanta,United States
oly_2000,Olympics 2000,2000-09-16,2000-10-01,True,-33.8688,151.2093,58,Australia/Sydney,16.810105339686118,9.883196489016257,2.4937974933784317,999.7661743164062,63.68199810745805,17.065884666901994,Sydney,Australia
oly_2004,Olympics 2004,2004-08-14,2004-08-29,True,37.9838,23.7275,70,Europe/Athens,24.420282459259056,12.211151059468591,2.019364070985645,958.5083854166667,46.52859055495884,22.42152781080318,Athens,Greece
oly_2008,Olympics 2008,2008-08-09,2008-08-24,True,39.9042,116.4074,43,Asia/Shanghai,24.511200523376488,19.361660178502405,1.2835880237515014,996.2005900065104,73.07978988321352,25.21173555966017,Beijing,China
oly_2012,Olympics 2012,2012-07-28,2012-08-12,True,51.5074,-0.1278,11,Europe/London,15.426972564061487,11.782050903638208,3.4102040465551173,1002.1865559895833,78.90413825838486,16.960434328073703,London,United Kingdom
oly_2016,Olympics 2016,2016-08-06,2016-08-21,True,-22.9068,-43.1729,2,America/Sao_Paulo,21.530018981297815,16.469336287180624,1.5747214142202184,1009.4514599609375,72.95709186371889,22.34304212127064,Rio de Janeiro,Brazil
oly_2020,Olympics 2020,2021-07-24,2021-08-08,True,35.6762,139.6503,40,Asia/Tokyo,25.464018877347314,22.65272746086123,1.8443258843733457,1000.4099768066407,84.49840872785494,27.238170579716332,Tokyo,Japan
oly_2024,Olympics 2024,2024-07-27,2024-08-11,True,48.8566,2.3522,35,Europe/Paris,19.66064112981161,14.079775468508444,2.644392517043445,1004.8301920572917,70.21855804011871,20.31316214326471,Paris,France
wc_1991,World Championships 1991,1991-01-03,1991-01-13,True,-31.9505,115.8605,0,Australia/Perth,23.138957769220553,10.777559014522694,5.955880802687921,1005.642275094697,45.70594316736629,21.192560289677168,Perth,Australia
wc_1994,World Championships 1994,1994-09-01,1994-09-11,True,41.9028,12.4964,21,Europe/Rome,21.537253316243493,16.949619663122974,1.9902620108146625,984.9751893939393,75.18044703750871,22.551416873777043,Rome,Italy
wc_1998,World Championships 1998,1998-01-08,1998-01-17,True,-31.9505,115.8605,0,Australia/Perth,23.03967984517419,15.239915339152049,4.906035311150173,1006.0890598958333,61.539680073112045,22.701710350615773,Perth,Australia
wc_2003,World Championships 2003,2003-07-12,2003-07-27,True,41.3851,2.1734,12,Europe/Madrid,25.2345536708832,17.61538133621218,1.997389177693826,974.8210530598958,62.75619836403005,24.87331153838741,Barcelona,Spain
wc_2005,World Championships 2005,2005-07-16,2005-07-31,False,45.5017,-73.5673,36,America/Montreal,21.259198045730614,15.809065278371179,2.2551140526340134,1003.5729313151043,71.11988014981551,21.91752884004689,Montreal,Canada
wc_2007,World Championships 2007,2007-03-18,2007-04-01,True,-37.8136,144.9631,14,Australia/Melbourne,15.914022064209007,9.677632904052757,2.6703498420284366,990.8381770833333,66.49408487651411,16.448845421002332,Melbourne,Australia
wc_2009,World Championships 2009,2009-07-17,2009-08-02,True,41.9028,12.4964,21,Europe/Rome,25.093983661427217,16.73667921926466,1.7977928887612749,985.7286642156863,59.864357982870175,24.446353840499366,Rome,Italy
wc_2011,World Championships 2011,2011-07-16,2011-07-31,True,31.2304,121.4737,4,Asia/Shanghai,28.841714954376243,25.299002424875937,3.370966006692511,1002.703423055013,81.26442833841895,30.216626985396474,Shanghai,China
wc_2013,World Championships 2013,2013-07-19,2013-08-04,True,41.3851,2.1734,12,Europe/Madrid,22.699760878319864,16.77062138576133,1.7909800515040053,976.239315257353,69.25936164803494,23.11809816120105,Barcelona,Spain
wc_2015,World Championships 2015,2015-07-24,2015-08-09,False,55.8304,49.0661,60,Europe/Moscow,16.512630417767696,11.716433274512212,3.6334009761631245,997.2020480047488,73.30621097653685,17.56303482507318,Kazan,Russia
wc_2017,World Championships 2017,2017-07-14,2017-07-30,False,47.4979,19.0402,96,Europe/Budapest,21.432026462928945,13.080129466337326,2.551734649331064,992.3104044117648,59.00281714710154,20.96478023302594,Budapest,Hungary
wc_2019,World Championships 2019,2019-07-12,2019-07-28,False,35.1595,126.8516,0,Asia/Seoul,25.40403436398975,22.836833011402803,2.822500743750146,992.3230625765931,85.7495566560492,27.299756350481662,Gwangju,South Korea
wc_2022,World Championships 2022,2022-06-18,2022-07-03,False,47.4979,19.0402,96,Europe/Budapest,24.535683727264427,12.511190271377586,2.4810679635731687,994.2848575846355,47.128239415760945,22.590136078603887,Budapest,Hungary
wc_2024,World Championships 2024,2024-02-02,2024-02-18,True,25.2854,51.531,0,Asia/Qatar,18.932425136192194,11.34564690683402,5.245634807146691,1016.3033563112746,61.42882247368284,18.860789709641914,Doha,Qatar
